"animal","gene","sex","zygosity","week","weight"
"489",145453435,"377",1,1,12.571428571,25.51
"490",145453435,"377",1,1,13.571428571,25.75
"491",145453435,"377",1,1,11.857142857,25.29
"492",145453435,"377",1,1,15,26.3
"493",145453435,"377",1,1,15.714285714,26.61
"494",145453431,"377",1,1,2.857142857,5.83
"495",145453431,"377",1,1,3.714285714,10.98
"496",145453431,"377",1,1,4.714285714,17.63
"497",145453431,"377",1,1,5.857142857,19.74
"498",145453431,"377",1,1,6.857142857,21.88
"499",145453431,"377",1,1,7.857142857,22.83
"500",145453431,"377",1,1,8.857142857,23.98
"501",145453431,"377",1,1,9.571428571,23.72
"502",145453431,"377",1,1,10.571428571,24.9
"503",145453431,"377",1,1,11.857142857,25.8
"504",145453431,"377",1,1,12.571428571,25.62
"505",145453431,"377",1,1,13.571428571,25.79
"506",145453431,"377",1,1,15,26.76
"507",145453431,"377",1,1,15.714285714,27.39
"508",145453630,"377",1,0,3,7.71
"509",91997138,"819",0,1,6.571428571,12.95
"510",91997138,"819",0,1,7.571428571,14.46
"511",91997138,"819",0,1,8.571428571,16.41
"512",91997138,"819",0,1,9.571428571,17.45
"513",91997138,"819",0,1,10.571428571,17.49
"514",91997139,"819",0,1,6.571428571,14.98
"515",91997139,"819",0,1,7.571428571,16.38
"516",91997139,"819",0,1,8.571428571,18.02
"517",91997139,"819",0,1,9.571428571,19.15
"518",91997139,"819",0,1,10.571428571,18.87
"519",91997140,"819",0,1,6.571428571,14.01
"520",91997140,"819",0,1,7.571428571,14.94
"521",91997140,"819",0,1,8.571428571,16.25
"522",91997140,"819",0,1,9.571428571,17.75
"523",91997140,"819",0,1,10.571428571,17.94
"524",91997141,"819",1,1,6.571428571,11.77
"525",91997141,"819",1,1,7.571428571,14.29
"526",91997141,"819",1,1,8.571428571,16.84
"527",91997141,"819",1,1,9.571428571,17.87
"528",91997141,"819",1,1,10.571428571,18.49
"529",91997142,"819",1,1,6.571428571,13.76
"530",91997142,"819",1,1,7.571428571,15.22
"531",91997142,"819",1,1,8.571428571,18.5
"532",91997142,"819",1,1,9.571428571,19.56
"533",91997142,"819",1,1,10.571428571,19.89
"534",91997138,"819",0,1,13.571428571,19.33
"535",91997138,"819",0,1,14.571428571,20.28
"536",91997138,"819",0,1,15.571428571,18.54
"537",91997139,"819",0,1,13.571428571,19.81
"538",91997139,"819",0,1,14.571428571,21.41
"539",91997139,"819",0,1,15.571428571,21.33
"540",91997140,"819",0,1,13.571428571,19.59
"541",91997140,"819",0,1,14.571428571,20.59
"542",91997140,"819",0,1,15.571428571,19.92
"543",91997141,"819",1,1,13.571428571,20.83
"544",91997141,"819",1,1,14.571428571,21.9
"545",91997141,"819",1,1,15.571428571,21.74
"546",91997142,"819",1,1,13.571428571,22.09
"547",91997142,"819",1,1,14.571428571,22.52
"548",91997142,"819",1,1,15.571428571,22.42
"549",91997138,"819",0,1,16.571428571,19.5
"550",91997138,"819",0,1,17.571428571,20.19
"551",91997138,"819",0,1,18.571428571,19.85
"552",91997139,"819",0,1,16.571428571,21.35
"553",91997139,"819",0,1,17.571428571,22.45
"554",91997139,"819",0,1,18.571428571,22.26
"555",91997140,"819",0,1,16.571428571,19.88
"556",91997140,"819",0,1,17.571428571,20.02
"557",91997140,"819",0,1,18.571428571,19.77
"558",91997141,"819",1,1,16.571428571,22.37
"559",91997141,"819",1,1,17.571428571,21.81
"560",91997141,"819",1,1,18.571428571,22.22
"561",91997142,"819",1,1,16.571428571,22.93
"562",91997142,"819",1,1,17.571428571,22.9
"563",91997142,"819",1,1,18.571428571,22.51
